ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
11,Characteristics of Brucellosis,"Brucellosis outbreaks are characterised by many abortions in late pregnancy. The aborted lambs tend to be decomposed, stillborn, or alive but weak. Depending on the type of Brucella, ewes may have a fever, be depressed, suffer from weight loss, mastitis, lameness or diarrhoea. Lambs can also be See Abortions - What to do? for immediate steps which should be undertaken following an abortion to prevent spread within the flock and zoonoses (spreading to humans).  In rams it is characterised by testicular abnormalities like testicle enlargement, pain, hardening, epidydimal enlargement and decreased semen quality (3,4). It is commonly transmitted between ewes and rams during breeding. 

For more information see Rayner K, Government of Western Australia. Ovine brucellosis; 2020. Available from: https://www.agric.wa.gov.au/livestock-biosecurity/ovine-brucellosis.
",Expandable,10,,
12,Control,It can be controlled by biosecurity measures and regular examination of rams. A vaccination for Brucella melitensis exists but is not currently in use in Europe. This is a notifiable disease so follow guidelines from your vet and local authority if you suspect it in your flock. Some research has suggested wildlife can act as a reservoir for the disease and transfer it to livestock (5). ,Expandable,10,,
13,References,"(1)   NHS. Brucellosis; 2020 [cited 2021 August 11. Available from: https://www.nhs.uk/conditions/brucellosis/.
(2)   Bisias G, Burriel A, Boutsini S, Kritas S, Leontides L. A serological investigation of some abortion causes among small ruminant flocks in Greece. The Internet Journal of Veterinary Medicine. 2010;8. Available from: https://doi.org/10.5580/28f4
(3)   Nicoletti P. Brucellosis in Sheep; 2013 [cited 2021 August 13]. Available from: https://www.msdvetmanual.com/reproductive-system/brucellosis-in-large-animals/brucellosis-in-sheep.
(4)   Carrera-Chávez JM, Quezada-Casasola A, Pérez-Eguia E, Itzá-Ortíz MF, Gutiérrez-Hernández JL, Quintero-Elisea JA, et al. Sperm quality in naturally infected rams with Brucella ovis. Small Ruminant Research. 2016;144:220-4. Available from: https://doi.org/10.1016/j.smallrumres.2016.09.021
(5)   Mick V, Le Carrou G, Corde Y, Game Y, Jay M, Garin-Bastuji B. Brucella melitensis in France: Persistence in Wildlife and Probable Spillover from Alpine Ibex to Domestic Animals. PLOS ONE. 2014;9(4):e94168. Available from: https://doi.org/10.1371/journal.pone.0094168",Expandable,10,,
14,Campylobacter Species (Vibriosis),"Cause: Bacteria (Campylobacter jejuni, C. fetus subspecies fetus)
Distribution: Worldwide
Source: Faeces and aborted material of infected sheep, dogs, birds, and contaminated water
Samples for Diagnosis: Aborted placenta and lambs
Treatment: Seek veterinary advice
Notifiable Disease: No
Risk to Humans: Yes (1) 

Campylobacteriosis (formerly ovine vibriosis) is diagnosed in 9% of infectious abortion cases investigated in sheep in the UK (2). The infection is usually obtained from contaminated water or feed, from aborted materials or faeces from infected sheep. Birds, cattle and dogs have also been implicated in the transmission of these bacteria. ",Button,,,
15,Characteristics of Campylobacteriosis,"Infection of ewes can result in an ""abortion storm"" (high number of abortions) in late pregnancy (after 12 weeks), alongside the birth of stillborn or weak lambs that die shortly after birth. Aborted lambs tend to be well preserved. The ewes are usually well, but may show a mild diarrhoea (3). Outbreaks tend to last for one lambing season, and reoccur 4-7 years later, during the intervening years lower levels of abortion due to Campylobacter species may still be seen. 

For more information see Government of Western Australia. Ovine campylobacteriosis (formerly ovine vibriosis); 2018. Available from: https://www.agric.wa.gov.au/livestock-biosecurity/ovine-campylobacteriosis-formerly-ovine-vibriosis.",Expandable,14,,
16,Control,"Campylobacteriosis can be controlled by bird control, clean water, not mixing new stock with pregnant stock, and biosecurity measures. There is no vaccination commercially available in the UK for sheep, but in the case of an outbreak, consult your veterinarian as a vaccine can be imported on a license from the VMD. Note that there is emerging antibiotic resistance within some USA strains of Campylobacter jejuni (4). Sheep which have aborted due to Campylobacter should be isolated from pregnant sheep, as they will continue to shed the bacteria so can infect others. Pregnant sheep should also be kept away from any aborted material or lambs, as this is a major source of infection and can cause them to abort within 14-21 days (5). See Abortions - What to do? for immediate steps which should be undertaken following an abortion to prevent spread within the flock and zoonoses (infection of humans).  ",Expandable,14,,
17,References,"(1)   World Health Organisation (WHO). Campylobacter; 2020 [cited 2021 August 11]. Available from: https://www.who.int/news-room/fact-sheets/detail/campylobacter.
(2)   HCC. Making Every Lamb Count; 2011 [cited 2021 August 11]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management. PDF Version
(3) Farm Health Online. Campylobacteriosis in Sheep [cited 2021 August 10]. Available from: https://www.farmhealthonline.com/disease-management/sheep-diseases/campylobacteriosis/.
(4)   Xia J, Pang J, Tang Y, Wu Z, Dai L, Singh K, et al. High Prevalence of Fluoroquinolone-Resistant Campylobacter Bacteria in Sheep and Increased Campylobacter Counts in the Bile and Gallbladders of Sheep Medicated with Tetracycline in Feed. Applied and Environmental Microbiology. 2019;85(11):e00008-19. Available from: https://doi-org.ezproxy.lib.gla.ac.uk/10.1128/AEM.00008-19
(5)   Menzies PI. Control of Important Causes of Infectious Abortion in Sheep and Goats. Veterinary Clinics of North America: Food Animal Practice. 2011;27(1):81-93. Available from: https://doi.org/10.1016/j.cvfa.2010.10.011",Expandable,14,,
18,Causes,,Tab,19,,Controlling Abortion
19,Controlling Abortion,,Button,21,,Sheep
20,Sheep,,Species,,,
21,Controls,,Tab,19,,Controlling Abortion
22,Vermin Control,,Button,21,,Controls
23,Vaccination,,Button,21,,Controls
24,Biosecurity,,Button,,,
