ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
17,References,"(1)   World Health Organisation (WHO). Campylobacter; 2020 [cited 2021 August 11]. Available from: https://www.who.int/news-room/fact-sheets/detail/campylobacter.
(2)   HCC. Making Every Lamb Count; 2011 [cited 2021 August 11]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management. PDF Version
(3) Farm Health Online. Campylobacteriosis in Sheep [cited 2021 August 10]. Available from: https://www.farmhealthonline.com/disease-management/sheep-diseases/campylobacteriosis/.
(4)   Xia J, Pang J, Tang Y, Wu Z, Dai L, Singh K, et al. High Prevalence of Fluoroquinolone-Resistant Campylobacter Bacteria in Sheep and Increased Campylobacter Counts in the Bile and Gallbladders of Sheep Medicated with Tetracycline in Feed. Applied and Environmental Microbiology. 2019;85(11):e00008-19. Available from: https://doi-org.ezproxy.lib.gla.ac.uk/10.1128/AEM.00008-19
(5)   Menzies PI. Control of Important Causes of Infectious Abortion in Sheep and Goats. Veterinary Clinics of North America: Food Animal Practice. 2011;27(1):81-93. Available from: https://doi.org/10.1016/j.cvfa.2010.10.011",Expandable,14,,
18,Causes,,Tab,19,,Controlling Abortion
19,Controlling Abortion,,Button,20,,Sheep
20,Sheep,,Species,,,
21,Controls,,Tab,19,,Controlling Abortion
22,Vermin Control,"Feed should be stored in a sealed container to keep out vermin, birds and cats. The container should be checked regularly for leakages or holes. 

Poisons can be used in a safe container to control vermin. Caution must be taken to keep livestock, pets and children away from any poisonous materials. Dogs or neutered cats can also be used to help control rodent populations. 

Mole control should be carried out in silage fields to avoid molehills causing soil contamination of silage.",Button,21,,Controls
23,Bird Control,"Birds can carry some disease and pass these to sheep when their faeces contaminate feed or water, for example Salmonella species. Also, birds may carry placentae or other abortion products from one farm to another, so can transport any abortive disease between farms in this way. 
?
Prevent birds having access to stored feeds by using
 

    feed bins with a secure lid
    bird-proof sheds for feed storage
    multiple layers of plastic on top of silage


Prevent birds being attracted to left-overs or ad-lib feed by
?

    turning over feed troughs immediately after feeding
    using covered feeders
    when feeding on the floor, use a clean, new location each time


Use bird scaring devices to discourage birds being near the sheep.
 
Arrangements may be able to be made with local gamekeepers to help keep the bird populations under control. ",Button,21,,Controls
24,Biosecurity,,Button,21,,Controls
25,Benefits of Reducing Losses,"Sheep and lamb losses are of major concern. Total lamb mortality is thought to be about 15% in UK flocks, but it has been shown to be anywhere between 1 and 43% depending on the farm and year (1). Of this, 30% are due to abortions, 49% is within the first 48hrs of being born, and an additional 11% is within the first 15 days of life (2). Therefore, the prevention of losses between scanning and weaning is important for health, welfare, productivity and viability of sheep flocks in the UK and across Europe.  

Animal Welfare
Reduced abortions and mortality mean a healthier, happier and more productive flock. There is an improved welfare for the ewes if they are not aborting the lambs, as abortion is often associated with poor health of the ewe. There have also been studies which have shown that ewes suffer emotionally when they lose a lamb (3).

A lower incidence of lamb mortality is a positive outcome for animal welfare as it indicates less lamb disease, starvation, hypothermia and other conditions which will cause suffering to the lamb. 

Economical/Financial

Each lamb which does not survive or is aborted costs the farm about £85 (4). For enzoonotic abortion alone, losses are estimated to cost £6-20 million yearly. Reducing the lamb mortality and abortion rates is expected to result in large cost efficiency gains (5). More large, healthy lambs can be sent to market, or sold as breeding stock. 


Emotional/Mental Health of Farmers
Losing livestock has also been shown to have a negative impact on the emotional wellbeing of the farmer (6). The death of a ewe or lambs born deformed can be particularly upsetting. A healthier flock with less death will result in a more positive lambing season for staff. 

Environmental Impact

The environmental impact of reduced abortion rates and lamb mortality is related to needing less ewes to produce more lambs. If more ewes birth and raise healthy, viable lambs, the flock size can theoretically be reduced while maintaining the same output. The mean carbon footprint has been calculated to be 10.85 to 17.86 kg CO2E/kg live weight finished lamb (7). The number of lambs raised per ewe (which is influenced by abortion and neonatal mortality) was identified as an important influence on the mean carbon footprint per finished lamb (7). Hence, reducing abortions and neonatal lamb mortality will decrease the carbon footprint of the lamb industry.


References
(1)   Dwyer CM, Conington J, Corbiere F, Holmøy IH, Muri K, Nowak R, et al. Invited review: Improving neonatal survival in small ruminants: science into practice. animal. 2016;10(3):449-59. Available from: https://doi.org/10.1017/S1751731115001974
(2) HCC. Making Every Lamb Count2011. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(3) Marino L, Merskin D. Intelligence, complexity, and individuality in sheep. Animal Sentience. 2019;4. Available from: http://dx.doi.org/10.51291/2377-7478.1374 

(4) Cutress D. Factors affecting sheep flock productivity; 2020. Available from: https://businesswales.gov.wales/farmingconnect/news-and-events/technical-articles/factors-affecting-sheep-flock-productivity.

(5) Hovers K. Enzootic abortion of ewes: a review. Vet Times. 2021;6(2):10-1. Available from: https://doi.org/10.12968/live.2021.26.4.207

(6) Phythian CJ, Glover MJ. Highs and Lows of Lambing Time: Sheep Farmers' Perceptions of the First Outbreak of Schmallenberg Disease in South West England on Their Well-Being. International journal of environmental research and public health. 2019;16(24):5057. Available from: https://doi.org/10.3390/ijerph16245057
(7) Jones AK, Jones DL, Cross P. The carbon footprint of lamb: Sources of variation and opportunities for mitigation. Agricultural Systems. 2014;123:97-107. Available from: http://dx.doi.org/10.1016/j.agsy.2013.09.006",Home,,,Drawer
26,Additional Resources,"Please note that the authors of this website are not responsible for the content of these websites or any changes which may have been made to the additional resources since the time of publishing. 

Printable Lamb Losses Record Sheet - PDF Version

AHDB:
- Knowledge Library https://ahdb.org.uk/knowledge-library.
- Sheep Diseases Directory  https://ahdb.org.uk/knowledge-library/sheep-diseases-directory
- Reducing lamb losses for Better Returns https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2. 
- Use of vaccines in cattle and sheep production https://projectblue.blob.core.windows.net/media/Default/Dairy/Publications/Use%20of%20vaccines%20in%20cattle%20and%20sheep%20prod_WEB.pdf.

HCC/Meat Promotion Wales:
- Sheep Industry Resources https://meatpromotion.wales/en/industry-resources/sheep-management.
- Making Every Lamb Count https://meatpromotion.wales/images/resources/Making_Every_Lamb_Count.pdf

QMS/Quality Meat Scotland:
- Health and Welfare https://www.qmscotland.co.uk/health-and-welfare-0
- Breeding https://www.qmscotland.co.uk/breeding-1

NADIS Disease A-Z for Sheep: https://www.nadis.org.uk/disease-a-z/sheep/.

MSD Veterinary Manual:
- Homepage https://www.msdvetmanual.com/en-au.
- Flockmaster's Guide to Abortion and Vaccination https://www.msd-animal-health-hub.co.uk/DNOMF/sheep-health.

Health and Safety Executive (HSE) Guide to Zoonoses:  https://www.hse.gov.uk/agriculture/topics/zoonoses.htm.

Moredun Livestock Diseases: https://www.moredun.org.uk/research/diseases

Farm Health Online - Sheep Diseases:  https://www.farmhealthonline.com/disease-management/sheep-diseases/.

FAS Technical Notes Collection: https://www.fas.scot/publication/technical-notes/.

Government Sheep and Goats: Health regulations: https://www.gov.uk/guidance/monitoring-prevention-and-control-of-disease-in-sheep-and-goats.

Guides for Vets and Farmers for Responsible Antibiotic Use: https://www.ruma.org.uk/sheep/antimicrobials-sheep-production/.",Home,,,Drawer
27,Acknowledgements,"Authors:

- Quianne Reijnen
- Kim Hamer VetMB CertAVP(SHEEP) Dip.ECSRHM MRCVS

Logo by Aurélie Reijnen

Many thanks for the constructive feedback from:

- Ruminant Clinical Service of the Veterinary Faculty of Zaragoza (interns and teachers)
- Renée de Cremoux, Institut de l'Elevage, Chambre d'Agriculture du Tarn
- Phillipa Page, BVSc BSc MRCVS, Flock Health Ltd",HamMenu,,,Drawer
28,Contact Us,"Please contact Kim Hamer at the University of Glasgow with any questions. 

Email: kim.hamer@glasgow.ac.uk",HamMenu,,,Drawer
29,Contact with Other Livestock,"Double fencing boundary fences between fields where neighbouring farms have livestock reduces transmission of diseases by nose-to-nose contact or short distance aerial spread (1). Ideally there should be a 3m gap between the two fences to prevent direct contact (2). Either permanent or electric fencing are suitable. Note that this will not prevent the spread of insect or wind borne diseases e.g. Bluetongue.  

Do not share rams with other farms when possible. Ideally use home-bred rams or artificial insemination. ",Expandable,24,,
30,Buying in Livestock,"Buy in as few new animals as possible, however when buying in new stock is necessary, be careful about the source. Try to purchase animals from one known source with known health status. Get as much information as possible about the health history of that flock and vaccination history of the animals (3). Buy young stock, as older stock are more likely to be carrying disease. 

Quarantine new livestock for at least 3 weeks, keeping them away from other animals or handling facilities used for other livestock on the farm, unless these facilities can be disinfected between uses. Ideally keep bought in replacement ewes separate form the rest of the flock for at least one production cycle. This is particularly important for purchased pregnant animals, which should be kept separate from the existing flock until after lambing. Monitor these animals closely for signs of disease. Undertake testing of any animals with suspicious signs, especially any abortions. Disinfect or change boots, clothing and equipment when going between the new and existing flocks (4). 

Test new stock for diseases not present in the existing flock, especially those you particularly want to avoid bringing into the flock. Consult your vet and undertake testing in the existing flock to decide which tests should be prioritised. Common recommendations may include Enzootic Abortion of Ewes, Border Disease Virus and Maedi Visna, but other may be pertinent to your situation. 

Vaccinate new animals for diseases which are already present in the existing flock to ensure their vaccination status matches that of the rest of the flock. ",Expandable,24,,
31,Farm Visitors,"Provide disinfectant foot baths or clean boots and protective clothing for visitors to the farm, to prevent disease coming onto the farm from outside sources. 

Keep non-farm vehicles at the boundaries of the farm. 

Dispose of fallen stock, stillborn and aborted lambs quickly, safely and legally. The dead stock collection site should be away from healthy animals, and at the edge of the farm boundary (5). Ensure that other animals and scavengers cannot access the carcases. Covered bins are useful for temporary storage until dead stock can be collected, but they must be leakproof and be cleaned and disinfected regularly (6).",Expandable,24,,
32,References,"Provide disinfectant foot baths or clean boots and protective clothing for visitors to the farm, to prevent disease coming onto the farm from outside sources. 

Keep non-farm vehicles at the boundaries of the farm. 

Dispose of fallen stock, stillborn and aborted lambs quickly, safely and legally. The dead stock collection site should be away from healthy animals, and at the edge of the farm boundary (5). Ensure that other animals and scavengers cannot access the carcases. Covered bins are useful for temporary storage until dead stock can be collected, but they must be leakproof and be cleaned and disinfected regularly (6).",Expandable,24,,
33,Body Condition Scoring,"Studies have shown that not only does body condition score (BCS) have an impact on fertility, but also on the incidence of abortions. Ewes that are both too lean and too fat have higher losses during pregnancy (1). 
A constant supply of good quality forage should be supplied (either conserved or grazed). Extra feed should be supplied if needed, for example during late pregnancy, if forage is poor or for ewes carrying multiples. If feed is limited, livestock numbers should be reduced so the feed demand can be met. 

To ensure adequate nutrition of breeding and pregnant ewes:
*    ?Monitor ewe BCS before and after breeding, in mid pregnancy, before and after lambing and at weaning. The majority of ewes should be within the recommended BCS, see here for guidance (2).
*    Get forage analysed ahead of time to allow additional feeding to be sources before it is needed
*    Consult a nutritionist and/or vet to provide a pregnant ewe diet
*    Ensure there is enough space for all ewes to access food, recommendations vary depending on whether is feed is ad lib or limited, see here (page 32) for details (3). 
*    Blood sample ewes 3-4 weeks before lambing to check nutrition is appropriate",Button,21,,Controls
34,References,"(1)   Morgan-Davies C, Waterhouse A, Pollock M, Milner J. Body condition score as an indicator of ewe survival under extensive conditions. Animal welfare (South Mimms, England). 2008;17:71-7. Available from: https://www.ingentaconnect.com/contentone/ufaw/aw/2008/00000017/00000001/art00009#trendmd-suggestions
(2) FAS. Body Condition Scoring of Mature Sheep - Technical Note TN702; 2018 [cited 2021 August 10]. Available from: https://www.fas.scot/publication/technical-notes/. PDF Version
(3) AHDB. Feeding the ewe; 2018 [cited 2021 August 10]. Available from: https://ahdb.org.uk/knowledge-library/feeding-the-ewe.",Expandable,33,,
35,Cat Control,,Button,21,,Controls
36,Reducing Feed Contamination,"Do not allow farm cats to have access to feed, forage or bedding. Stored hay should be covered with sheeting to prevent cats defecating on it. Any feed contaminated with cat faeces should not be used to feed sheep, especially pregnant ewes. Raise water troughs to prevent faecal contamination. Provide litter boxes for the cats to defecate in.",Expandable,35,,
37,Controlling Cat Populations,Neuter or spay adult cats to prevent breeding. Keep a stable neutered cat population to reduce visits by feral cats. Control feral cat populations.,Expandable,35,,
38,Clean Water,"Sheep should have a constant supply of fresh, clean water with reduced risk of contamination with animal or bird faeces. This can be provided by piping main s water into raised water troughs. 

Ensure water is not contaminated with faeces of cats, vermin, neighbouring livestock or cattle. 

Ideally use a separate water source for sheep and cattle. Clean water troughs frequently - drain the water and clean inside of trough. Also, deep clean the troughs after repair or maintenance, following possible contamination or when contamination levels are high (1). Portable water systems and IBCs should also be cleaned regularly. 

?Provide enough water for the whole flock, especially for pregnant ewes and when the weather is hot. 

Check natural water sources for growth of blue-green algae. It can be found in lakes, ponds, canals, reservoirs or any other water source (2). Look for the green, blue-green or green-brown appearance in water, and deceased wildlife around the edges of the water source. Water samples can be sent off for testing.",Button,21,,Controls
39,References,"(1)   AHDB. Deep cleaning farm drinking systems; 2019 [cited 2021 August 8]. Available from: https://ahdb.org.uk/knowledge-library/deep-cleaning-farm-drinking-systems-factsheet. PDF Version
(2)   Department of Primary Industries and Regional Development. Blue-green algae poisoning in livestock; 2020 [cited 2021 August 8]. Available from: https://www.agric.wa.gov.au/animal-welfare/blue-green-algae-poisoning-livestock.",Expandable,38,,
40,Feed Contamination Control,"Sheep should not be fed feed that is visibly dirty, mouldy or contaminated, as this may pose a disease risk. 

Concentrate feed should be stored securely in sealed containers to keep out vermin, birds and cats. 

Pastures should be inspected for poisonous plants before grazing. Poisoning is especially common when feed is scarce, as poisonous plants are usually unpalatable. See page 4 to 8 of this paper (1) for the most common toxic plants in the UK which may be eaten by livestock, clinical signs and how it can be diagnosed. Toxic plants should be removed from the pastures, or fenced off to prevent livestock getting access. 

Feed troughs should be turned over after feeding to prevent birds getting access.

When floor feeding, use a new, clean area every day.",Button,21,,Controls
41,References,"(1) Payne J, Murphy A. Plant poisoning in farm animals. In Practice. 2014;36(9):455. Available from: https://doi.org/10.1136/inp.g6148",Expandable,40,,
42,Insect Control,"Insects can be carriers of disease, which they pass on to sheep and other livestock during feeding, either through direct contact or blood sucking. 

Insecticides can be applied to animals during high-risk periods e.g. pour on solutions or insecticide impregnated ear tags. See the AHDB Parasite Control Guide for more information: 2021. Available from: https://ahdb.org.uk/knowledge-library/parasite-control-guide.

To avoid midges, sheep can be housed overnight during periods of high midge activity. They should also be kept away from wet areas of farms where possible. Breeding of livestock can be delayed until the risk period is over. 

Ticks can be avoided by keeping livestock away from woodland and shrubs during high-risk periods. Tick habitat can also be removed from the field, e.g. by clearing bracken and draining wet land, where this is allowed.",Button,21,,Controls
43,Reduce Stress,"Keep the handling of pregnant sheep to a minimum. When handling is necessary use a  gentle and calm handling technique, using funnels, races and crates to minimise stress. Also keep the use of dogs to a minimum when working with pregnant ewes. 

Avoid transporting ewes within 2 weeks before lambing, 3 weeks if they are carrying multiple lambs (1). 

Where possible keep pregnant ewes away from areas where they may encounter pet dogs. Put up signage to inform dog walkers that there are sheep in the field and remind them that sheep worrying is illegal. Talking to dog owners may also be worthwhile. Wildlife attacks can be prevented by predator control, working with local gamekeepers, adding additional fencing or moving sheep to another area (2).

Provide shade or shelter in high temperatures to reduce heat stress. Also make sure there is access to fresh clean water. Keep a close eye on the flock for signs of heat stress on days when the temperature humidity index is high.

Provide windbreaks or shelter in windy or wet conditions.",Button,21,,Controls
44,References,"(1)   North Canterbury Veterinary Clinics. Guidelines for the Trucking of Pregnant Ewes; 2017 [cited 2021 August 12]. Available from: https://www.ncvets.co.nz/news/posts/2017/october/guidelines-for-the-trucking-of-pregnant-ewes/.
(2)   Murray L, Warren R. Sheep Attacks and Harassment Research; 2019 [cited 2021 August 12]. Available from: https://www.gov.scot/publications/sheep-attacks-harassment-research/pages/2/.",Expandable,43,,
45,Silage Contamination Control,"Sheep should not be fed visibly dirty, mouldy, discoloured, odd smelling or contaminated silage which may pose a disease risk. 

Soil and faecal contamination should be avoided when making silage. This can be done by:
- ensuring slurry applied to the fields has been taken up by the plant before harvesting
- setting the mower high enough to avoid it encountering soil
- making sure the wheels of all vehicles are clean before starting harvesting, baling or wrapping
- ensuring all equipment is clean of material from the previous harvest 
- removing stock from the pasture well before silage making, to avoid faecal contamination 
- rolling fields after winter
- keeping mole populations under control

Silage should be stored anaerobically (without air) to allow sufficient fermentation to take place, in order to drop the pH to acidic condition, and stop dangerous bacteria proliferating/breeding. This can be achieved by:
- rolling out all the air in the silage clamp, ensuring the shoulders are not missed
- covering the silage clamp with oxygen-proof plastic sheeting 
- using a secondary thick bird-proof sheet over the clamp
- weighing down the sheeting appropriately
- adding an additive can help speed up fermentation and decrease harmful pathogens which may be present (1)
- bales should be covered by 4 layers of plastic, more layers has not been proven to be beneficial (2) 
- regularly checking for punctures in the plastic covering the clamp or bales

When using silage, only uncover a little at a time, to keep air out as much as possible. Once the surface is exposed to air, the silage will deteriorate rapidly and soon be unsuitable to feed to animals, especially sheep. The edge of the sheet should be weighed down to prevent air getting under it. 

Silage testing should be undertaken before feeding it to livestock, to ensure it has fermented sufficiently, to assess the nutritional content, and check ash values. For grass silages, ash levels are usually between 6 and 8% (3). If ash levels are over 10%, this is an indicator of soil contamination, which may increase mould, yeast and bacteria growth which can be associated with disease e.g. listeriosis (4). 

A guide to good silage making by AHDB Beef & Lamb is available here: Making grass silage for Better Returns; 2019. Available from: https://ahdb.org.uk/knowledge-library/making-grass-silage-for-better-returns.",Button,21,,Controls
